id,name,age,gender,neighborhood,income,consuming_sweet_drinks
1,זכריה גולדברג,21,Male,יפו ד',5316,Low
2,יצחק לוי,23,Male,יפו ד',5657,Low
3,גיל ביטון,24,Male,יפו ד',4930,High
4,עודד סגל,27,Male,צמרת הפארק,17006,Moderate
5,צפורה דיין,28,Female,רמת אביב ג',15321,Low
6,צדוק גבאי,27,Male,צמרת הפארק,15354,Low
7,ליבי רובין,31,Female,רמת אביב ג',13303,Moderate
8,שחר מזרחי,35,Male,צמרת הפארק,15109,Moderate
9,אסף דיין,31,Male,יפו ד',4770,High
10,רונה ביטון,57,Female,רמת אביב ג',14852,Moderate
11,בנימין שפירא,32,Male,יפו ד',4155,High
12,ליבי אוחיון,32,Female,צמרת הפארק,15934,Low
13,אביב בר,43,Female,יפו ד',4114,High
14,עידן אברהם,31,Male,רמת אביב ג',15212,Moderate
15,מיכל כץ,27,Female,צמרת הפארק,16693,Moderate
16,אלחנן פרידמן,37,Male,רמת אביב ג',13926,Low
17,שיר רובין,22,Female,יפו ד',4098,High
18,שחר כהן,33,Male,צמרת הפארק,13159,Low
19,רונה פרץ,47,Female,יפו ד',5528,High
20,עינב ביטון,21,Female,יפו ד',4622,High
21,ירמיהו אוחיון,38,Male,רמת אביב ג',17269,Low
22,נעמה וייס,25,Female,צמרת הפארק,13137,Low
23,עדי רובין,34,Male,יפו ד',5490,Low
24,ליה וייס,23,Female,יפו ד',5731,Low
25,לוי כהן,35,Male,רמת אביב ג',16156,Low
26,רחב דוד,49,Female,צמרת הפארק,13529,Moderate
27,יובל גולדברג,32,Male,רמת אביב ג',13956,Moderate
28,עידן ביטון,28,Male,רמת אביב ג',14739,Low
29,רם לוי,34,Male,רמת אביב ג',16639,Low
30,אסתר דוד,34,Female,רמת אביב ג',14932,Low
31,דנה מזרחי,27,Female,צמרת הפארק,15839,Low
32,אביגדור רובין,44,Male,רמת אביב ג',17239,Low
33,ירמיהו גבאי,38,Male,רמת אביב ג',16351,Low
34,יחזקאל גולדברג,26,Male,צמרת הפארק,13414,Low
35,מעיין אזולאי,43,Female,יפו ד',5601,High
36,מיכה סגל,24,Male,יפו ד',4689,Low
37,בר אוחיון,38,Female,רמת אביב ג',14382,Moderate
38,אדווה לוי,26,Female,צמרת הפארק,15571,Moderate
39,ליבי שפירא,24,Female,יפו ד',5389,High
40,שמשון דיין,47,Male,צמרת הפארק,15921,Low
41,פנינה חדד,21,Female,יפו ד',5945,High
