id,name,age,gender,neighborhood,income,consuming_sweet_drinks
1,רינת חדד,26,Female,כרם התימנים,6452,Moderate
2,אברהם בר,25,Male,כרם התימנים,7143,Moderate
3,אור שפירא,31,Male,יד אליהו,6995,Low
4,גילה כץ,29,Female,יד אליהו,7438,Moderate
5,אדה דיין,31,Female,כרם התימנים,7356,Low
6,ראובן סגל,29,Male,יד אליהו,6260,Low
7,מתן דיין,26,Male,יד אליהו,7923,Low
8,תמר בר,28,Female,כרם התימנים,7649,Moderate
9,עידן כהן,35,Male,כרם התימנים,7788,Low
10,רמי שפירא,24,Male,עג'מי,4990,High
11,מיכל פרץ,26,Female,יד אליהו,6423,Moderate
12,עוזי גולדברג,46,Male,עג'מי,5653,High
13,רם גולדברג,33,Male,כרם התימנים,6475,Moderate
14,רועי פרץ,28,Female,כרם התימנים,7825,Low
15,חוה גבאי,29,Female,עג'מי,5170,Low
16,רבקה שפירא,28,Female,יד אליהו,7460,Low
17,ניצן פרידמן,28,Female,כרם התימנים,6977,Low
18,פנינה פרץ,26,Female,עג'מי,4319,Low
19,לירון אוחיון,31,Male,כרם התימנים,7799,Moderate
20,עודד ביטון,30,Male,כרם התימנים,7309,Moderate
21,דור פרץ,39,Male,יד אליהו,7195,Moderate
22,יהונתן אברהם,27,Male,עג'מי,5024,High
23,רפאל אזולאי,37,Male,כרם התימנים,7932,Moderate
24,ליאת בר,41,Female,כרם התימנים,6049,Low
25,חן דוד,47,Female,יד אליהו,7831,Low
26,ליאור בר,48,Male,עג'מי,5530,Low
27,נטלי כהן,34,Female,כרם התימנים,6148,Moderate
28,אהבה דוד,26,Female,יד אליהו,7809,Low
29,טל סגל,31,Male,כרם התימנים,6505,Low
30,שמחה אזולאי,34,Male,עג'מי,5806,Low
31,חוה פרץ,30,Female,עג'מי,4634,High
32,סיגל שפירא,40,Female,כרם התימנים,7915,Low
33,רבקה וייס,46,Female,כרם התימנים,6901,Moderate
34,יהודה כץ,33,Male,כרם התימנים,7898,Moderate
35,אביגדור מזרחי,34,Male,יד אליהו,7990,Moderate
36,שושנה אוחיון,48,Female,יד אליהו,7541,Moderate
37,מיכאל אזולאי,26,Male,כרם התימנים,7323,Moderate
38,עזרא שפירא,27,Male,כרם התימנים,6835,Low
39,יאיר לוי,52,Male,כרם התימנים,7769,Moderate
40,איתן אוחיון,24,Male,עג'מי,5633,High
41,יסמין שפירא,44,Female,עג'מי,5308,High
42,גילה פרץ,28,Female,כרם התימנים,6667,Low
43,יואב דיין,30,Male,כרם התימנים,6749,Low
44,חן רובין,31,Female,יד אליהו,7360,Low
45,יהודה פרץ,32,Male,כרם התימנים,6157,Moderate
46,מזל סגל,20,Female,עג'מי,4697,High
47,אברהם ביטון,27,Male,יד אליהו,7920,Low
48,שחר לוי,32,Female,עג'מי,4440,High
49,חנוך דוד,35,Male,יד אליהו,6959,Low
50,אור שפירא,39,Female,עג'מי,5103,High
51,עדן גולדברג,20,Female,עג'מי,5319,High
52,חנוך פרץ,25,Male,עג'מי,4775,Low
53,רנית אוחיון,39,Female,כרם התימנים,7102,Low
54,איתי גולדברג,26,Male,כרם התימנים,7354,Moderate
55,מעיין שפירא,29,Female,כרם התימנים,7272,Moderate
56,אלעד ביטון,26,Male,כרם התימנים,7679,Moderate
57,שמשון פרץ,26,Male,כרם התימנים,6879,Moderate
58,שיר שפירא,20,Female,עג'מי,5751,High
59,אמיר אוחיון,38,Male,יד אליהו,7762,Moderate
60,רם רובין,31,Male,כרם התימנים,6734,Low
61,אברהם אזולאי,27,Male,כרם התימנים,6858,Moderate
62,אביגיל בר,35,Female,כרם התימנים,7912,Moderate
63,מזל בר,30,Female,כרם התימנים,6253,Moderate
64,נועם סגל,38,Male,עג'מי,5068,High
65,יובל אברהם,22,Male,עג'מי,4872,Low
66,רפאל ביטון,21,Male,עג'מי,5169,High
67,אפרת מזרחי,34,Female,כרם התימנים,7303,Moderate
68,ליבי ביטון,21,Female,עג'מי,5898,High
69,יסמין חדד,31,Female,יד אליהו,6407,Low
70,נחום כץ,33,Male,יד אליהו,7805,Moderate
71,אדה כהן,34,Female,יד אליהו,7780,Moderate
72,ברק כהן,28,Male,יד אליהו,7335,Moderate
73,גד אברהם,25,Male,כרם התימנים,7971,Low
74,אמיר בר,22,Male,עג'מי,5654,High
75,דוד רובין,26,Male,כרם התימנים,7803,Moderate
76,נחמיה אברהם,28,Male,עג'מי,4801,High
77,דבורה דיין,28,Female,יד אליהו,7290,Moderate
78,עינב פרץ,29,Female,יד אליהו,6591,Moderate
79,רונה ביטון,35,Female,כרם התימנים,6569,Low
80,נטלי דיין,39,Female,יד אליהו,6127,Low
81,נעמה אוחיון,24,Female,עג'מי,5281,High
82,זמירה דיין,47,Female,יד אליהו,7363,Low
83,מאיר אזולאי,53,Male,כרם התימנים,6989,Low
84,אדווה ביטון,28,Female,יד אליהו,6122,Low
85,נטלי אוחיון,26,Female,כרם התימנים,7469,Low
86,שלמה חדד,32,Male,יד אליהו,6707,Moderate
87,מיכה שפירא,45,Male,כרם התימנים,7103,Low
88,דן גבאי,29,Male,יד אליהו,6946,Low
89,אהבה רובין,23,Female,עג'מי,5714,High
90,יעלי אזולאי,25,Female,עג'מי,4191,High
91,דבורה וייס,34,Female,עג'מי,4086,High
92,עמיחי מזרחי,40,Male,כרם התימנים,7051,Low
93,אופיר פרץ,29,Female,יד אליהו,7494,Moderate
94,אמנון כץ,22,Male,עג'מי,5987,High
95,אהרון כץ,26,Male,כרם התימנים,6042,Low
96,גל וייס,22,Female,עג'מי,4482,High
97,יהודה כץ,25,Male,יד אליהו,6651,Low
98,שחר רובין,28,Female,יד אליהו,7595,Moderate
99,חנה מזרחי,29,Female,כרם התימנים,6438,Low
100,שחר שפירא,38,Male,עג'מי,5665,Low
101,אריאל כהן,26,Male,כרם התימנים,7110,Moderate
102,דן גולדברג,20,Male,עג'מי,4134,High
103,עדן אברהם,30,Female,כרם התימנים,7275,Low
104,מלכה כהן,28,Female,יד אליהו,6704,Moderate
105,נטלי דיין,30,Female,כרם התימנים,7809,Moderate
106,דבורה סגל,24,Female,עג'מי,5630,High
107,יוסף גבאי,24,Male,עג'מי,4041,Low
108,חביבה גבאי,43,Female,יד אליהו,7727,Moderate
109,אריאלה וייס,37,Female,כרם התימנים,6077,Low
110,סתיו דוד,30,Female,יד אליהו,6343,Moderate
111,פנינה מזרחי,43,Female,יד אליהו,7155,Low
112,קרן חדד,22,Female,עג'מי,5653,High
113,אירית כהן,50,Female,יד אליהו,7660,Low
114,רמי שפירא,30,Male,כרם התימנים,7125,Low
115,גדעון אזולאי,21,Male,עג'מי,4480,High
116,דפנה דוד,30,Female,עג'מי,5433,High
117,עופר גולדברג,28,Male,כרם התימנים,7890,Low
118,שמואל מזרחי,41,Male,כרם התימנים,7913,Moderate
119,שי סגל,38,Male,כרם התימנים,7342,Moderate
120,זבולון גולדברג,32,Male,עג'מי,4459,High
121,אמירה חדד,44,Female,יד אליהו,7602,Low
122,שקד דיין,20,Female,עג'מי,5280,High
123,עופר סגל,28,Male,כרם התימנים,6620,Low
124,חביבה פרידמן,48,Female,כרם התימנים,6280,Low
125,דוד אברהם,21,Male,עג'מי,5929,High
126,ענת ביטון,32,Female,יד אליהו,7501,Moderate
127,שקמה מזרחי,22,Female,עג'מי,5259,High
128,אלעד אזולאי,29,Male,כרם התימנים,6958,Moderate
129,יסמין כץ,32,Female,עג'מי,5752,High
130,אריאלה אוחיון,25,Female,כרם התימנים,6290,Moderate
131,שני סגל,30,Female,כרם התימנים,7924,Low
132,ניצן רובין,47,Female,כרם התימנים,6131,Moderate
133,נועם סגל,21,Male,עג'מי,4531,High
134,אבישי פרץ,29,Male,יד אליהו,6897,Moderate
135,משה גבאי,28,Male,עג'מי,4138,High
136,סתיו ביטון,29,Female,יד אליהו,7953,Moderate
137,לירון סגל,25,Female,עג'מי,4162,Low
138,נפתלי פרץ,24,Male,עג'מי,5427,High
139,אור ביטון,32,Male,עג'מי,5595,High
140,כלב מזרחי,48,Male,יד אליהו,6185,Low
141,אמנון בר,38,Male,כרם התימנים,6663,Low
142,אהוד בר,29,Male,יד אליהו,7683,Moderate
143,בר וייס,30,Female,עג'מי,4514,Low
144,גיל שפירא,26,Male,כרם התימנים,6263,Low
145,מעכה וייס,21,Female,עג'מי,5810,Low
146,חגית דוד,33,Female,יד אליהו,7960,Low
147,אמנון דוד,20,Male,עג'מי,4375,High
148,זבולון לוי,33,Male,יד אליהו,7363,Low
149,אביגיל שפירא,24,Female,עג'מי,4480,High
150,הילה כהן,20,Female,עג'מי,4404,High
151,אריאל אוחיון,24,Male,עג'מי,4448,High
152,נעמה פרץ,35,Female,כרם התימנים,7946,Moderate
153,רפאל אוחיון,40,Male,יד אליהו,6711,Low
154,קרן פרידמן,28,Female,עג'מי,5451,High
155,זוהר בר,20,Female,עג'מי,5586,High
156,אור בר,26,Male,יד אליהו,7143,Moderate
157,איתן מזרחי,26,Male,עג'מי,4944,High
158,ליבי סגל,43,Female,כרם התימנים,7824,Moderate
159,יהונתן חדד,26,Male,עג'מי,4884,High
160,אביגיל מזרחי,26,Female,עג'מי,4111,High
161,אבנר אזולאי,25,Male,יד אליהו,6525,Low
162,ניר לוי,26,Male,כרם התימנים,7860,Moderate
163,שקמה גבאי,22,Female,עג'מי,4920,Low
164,דינה חדד,31,Female,עג'מי,4489,High
165,בועז חדד,25,Male,כרם התימנים,7465,Low
166,רונה לוי,27,Female,כרם התימנים,7324,Moderate
167,גבריאל כץ,33,Male,כרם התימנים,6920,Moderate
168,צפורה מזרחי,44,Female,יד אליהו,7636,Low
169,יוסף סגל,33,Male,עג'מי,5179,High
170,תמיר פרץ,31,Male,עג'מי,4159,High
171,נעמה כץ,33,Female,עג'מי,5624,High
172,ליאור וייס,26,Male,כרם התימנים,8000,Low
173,עודד דיין,28,Male,כרם התימנים,7250,Moderate
174,ניצן דיין,25,Female,יד אליהו,6049,Low
175,רונית רובין,30,Female,כרם התימנים,7100,Low
176,שחר אברהם,37,Male,עג'מי,4291,High
177,אביגיל אברהם,31,Female,כרם התימנים,7708,Moderate
178,שקד לוי,39,Female,כרם התימנים,7194,Low
179,אירית סגל,33,Female,כרם התימנים,6866,Low
180,יוסף בר,32,Male,כרם התימנים,6942,Low
181,ליאת דוד,21,Female,עג'מי,4783,High
182,ענת דיין,26,Female,כרם התימנים,7922,Moderate
183,הדס פרץ,28,Female,עג'מי,4690,High
184,אברהם שפירא,36,Male,יד אליהו,6825,Low
185,מעיין אברהם,27,Female,כרם התימנים,7964,Low
186,עמית דיין,25,Male,יד אליהו,6148,Low
187,אבנר אזולאי,23,Male,עג'מי,5420,High
188,אליהו ביטון,47,Male,יד אליהו,6918,Moderate
189,גילה גבאי,42,Female,כרם התימנים,7828,Low
190,גל סגל,39,Female,יד אליהו,7450,Moderate
191,ליאת שפירא,36,Female,עג'מי,4964,Low
192,בת-שבע דוד,24,Female,עג'מי,5499,High
193,לי שפירא,26,Female,יד אליהו,7413,Moderate
194,אלונה אוחיון,30,Female,יד אליהו,6069,Moderate
195,חנוך פרידמן,26,Male,יד אליהו,7441,Moderate
196,מזל רובין,27,Female,כרם התימנים,7152,Moderate
197,טל סגל,29,Female,כרם התימנים,7303,Moderate
198,משה פרידמן,29,Male,יד אליהו,6698,Low
199,הדס פרץ,35,Female,עג'מי,5015,High
200,עופר גבאי,45,Male,כרם התימנים,7564,Moderate
201,מיכל סגל,27,Female,כרם התימנים,6007,Low
202,אמירה אברהם,31,Female,יד אליהו,7863,Moderate
203,יענה אוחיון,27,Female,יד אליהו,7868,Low
204,רות מזרחי,48,Female,כרם התימנים,7047,Moderate
205,נוגה לוי,30,Female,כרם התימנים,7063,Moderate
206,אבישי סגל,43,Male,יד אליהו,7585,Low
207,חביבה כהן,30,Female,כרם התימנים,6853,Moderate
208,אמנון לוי,25,Male,עג'מי,5874,High
209,שמחה מזרחי,26,Male,כרם התימנים,6888,Low
210,עמוס אזולאי,35,Male,כרם התימנים,7286,Low
211,אריאל אזולאי,31,Male,כרם התימנים,7092,Moderate
212,אברהם כהן,35,Male,יד אליהו,6275,Moderate
213,קרן כץ,39,Female,יד אליהו,6974,Low
214,עמנואל דוד,32,Male,עג'מי,4153,High
215,דבורה אברהם,45,Female,יד אליהו,7842,Low
216,אלונה כץ,26,Female,כרם התימנים,7167,Low
217,רות רובין,29,Female,כרם התימנים,6662,Low
218,יענה פרידמן,29,Female,עג'מי,5331,High
219,יצחק פרידמן,51,Male,כרם התימנים,6948,Low
220,שיר מזרחי,44,Female,יד אליהו,7973,Low
221,מיכאל סגל,49,Male,כרם התימנים,7918,Moderate
222,ענת פרץ,27,Female,יד אליהו,7234,Low
223,דור דיין,43,Male,יד אליהו,6777,Low
224,סיגל אברהם,26,Female,עג'מי,5976,High
225,אמיר לוי,36,Male,עג'מי,4466,High
226,אלונה שפירא,27,Female,יד אליהו,6048,Low
227,יענה אברהם,20,Female,עג'מי,4186,High
228,נתן סגל,29,Male,כרם התימנים,6807,Low
229,לירון פרץ,40,Male,יד אליהו,6179,Low
230,אמיר כץ,28,Male,יד אליהו,7271,Low
231,עינב דוד,27,Female,יד אליהו,7607,Moderate
