id,name,age,gender,neighborhood,income,consuming_sweet_drinks
1,נועה כץ,22,Female,שפירא,5884,Low
2,נעמי בר,29,Female,כרם התימנים,7296,Low
3,זבולון חדד,43,Male,בבלי,16900,Low
4,טל לוי,36,Female,בבלי,13743,Low
5,דנה פרידמן,31,Female,שפירא,5574,High
6,מיכאל פרץ,28,Male,כרם התימנים,7303,Moderate
7,עדי פרץ,34,Male,כרם התימנים,7836,Moderate
8,עינב כהן,29,Female,שפירא,5850,Low
9,יהונתן אזולאי,36,Male,שפירא,5630,High
10,הדס גבאי,23,Female,שפירא,5589,High
11,רון דיין,33,Male,שפירא,4942,High
12,יגאל לוי,20,Male,שפירא,5942,High
13,בועז אברהם,43,Male,כרם התימנים,6850,Low
14,צפורה לוי,27,Female,שפירא,4127,Low
15,מעכה בר,25,Female,כרם התימנים,6013,Moderate
16,אבשלום וייס,23,Male,שפירא,4812,High
17,שמשון סגל,33,Male,בבלי,17165,Moderate
18,אווה גבאי,39,Female,כרם התימנים,7616,Low
19,ליאור סגל,27,Male,שפירא,5393,High
20,אריאל דוד,34,Male,כרם התימנים,6244,Moderate
21,אירית סגל,40,Female,שפירא,5289,Low
22,זבולון ביטון,28,Male,שפירא,4539,High
23,צבי גולדברג,35,Male,כרם התימנים,7984,Low
24,עמנואל רובין,34,Male,בבלי,15869,Low
25,נחמיה אוחיון,20,Male,שפירא,5911,High
26,יחזקאל אברהם,39,Male,שפירא,4202,High
27,אהבה פרץ,48,Female,בבלי,15119,Low
28,סתיו רובין,28,Female,בבלי,16378,Moderate
29,אלעד גולדברג,51,Male,כרם התימנים,6181,Moderate
30,אביגיל שפירא,44,Female,כרם התימנים,7340,Moderate
31,מיכה דיין,36,Male,שפירא,4834,High
32,בנימין גולדברג,31,Male,בבלי,16014,Moderate
33,רנית גבאי,37,Female,שפירא,4640,High
34,שמחה פרידמן,46,Male,בבלי,16101,Moderate
35,נטלי אזולאי,30,Female,שפירא,4488,High
36,עמיחי אוחיון,27,Male,כרם התימנים,6750,Low
37,יענה דוד,32,Female,בבלי,16331,Moderate
38,שושנה דוד,25,Female,כרם התימנים,6240,Moderate
39,חן לוי,37,Female,כרם התימנים,7683,Low
40,אפרת רובין,23,Female,שפירא,5066,High
41,עזריה שפירא,33,Male,שפירא,4120,High
42,יששכר אזולאי,21,Male,שפירא,4274,High
43,אבישי אוחיון,25,Male,שפירא,5688,High
44,אשר פרידמן,37,Male,בבלי,15537,Moderate
45,שרה דיין,40,Female,שפירא,4980,High
46,דפנה כץ,22,Female,שפירא,4541,Low
47,עזרא מזרחי,26,Male,כרם התימנים,7288,Low
48,דן כהן,30,Male,בבלי,16991,Low
49,אריאלה וייס,43,Female,בבלי,15132,Low
50,יוסף כץ,35,Male,כרם התימנים,7109,Low
51,לאה דוד,31,Female,כרם התימנים,6570,Low
52,יגאל אוחיון,31,Male,כרם התימנים,7219,Moderate
53,ליאור מזרחי,25,Male,כרם התימנים,7550,Low
54,בנימין בר,28,Male,בבלי,14115,Low
55,עמנואל פרידמן,37,Male,כרם התימנים,7384,Low
56,נדב כהן,32,Male,בבלי,16286,Low
57,בת-שבע כץ,29,Female,כרם התימנים,7928,Moderate
58,שקמה סגל,31,Female,כרם התימנים,6053,Moderate
59,יוסף גולדברג,22,Male,שפירא,5450,High
60,אדווה גבאי,25,Female,כרם התימנים,7513,Low
61,בועז דוד,32,Male,בבלי,16349,Low
62,איתי לוי,44,Male,שפירא,5374,High
63,אלעזר דוד,56,Male,בבלי,16062,Low
64,זוהר סגל,49,Female,כרם התימנים,7651,Moderate
65,אור וייס,38,Female,כרם התימנים,6846,Low
66,אליהו גולדברג,28,Male,כרם התימנים,6281,Moderate
67,יהודה כץ,36,Male,שפירא,4335,High
68,עופר רובין,24,Male,שפירא,5729,High
69,רבקה כץ,56,Female,בבלי,13070,Moderate
70,רונית מזרחי,47,Female,כרם התימנים,7740,Low
71,עזרא גולדברג,29,Male,שפירא,5691,High
72,קרן דיין,46,Female,בבלי,14917,Low
73,שקמה סגל,28,Female,בבלי,15853,Low
74,יהונתן חדד,36,Male,בבלי,13265,Low
75,נוגה דיין,33,Female,בבלי,16928,Low
76,עידן כהן,31,Male,בבלי,16379,Moderate
77,טל מזרחי,28,Female,בבלי,17344,Low
78,אורי וייס,43,Male,בבלי,14443,Moderate
79,מרים וייס,42,Female,בבלי,13701,Low
80,ענת מזרחי,26,Female,כרם התימנים,6384,Low
81,לירון דיין,26,Male,כרם התימנים,7675,Low
82,תפארת סגל,30,Female,בבלי,16934,Low
83,שקד פרץ,21,Female,שפירא,5239,High
84,חוה פרידמן,28,Female,שפירא,5964,High
85,שיר סגל,28,Female,בבלי,17019,Low
86,יעלי שפירא,25,Female,כרם התימנים,6946,Low
87,שיר וייס,32,Female,בבלי,14109,Low
88,יצחק דוד,44,Male,כרם התימנים,7374,Low
89,צדוק אזולאי,27,Male,שפירא,4932,Low
90,אלה ביטון,27,Female,כרם התימנים,6914,Low
91,אבשלום דיין,37,Male,בבלי,13800,Low
92,דנה גבאי,47,Female,שפירא,5973,High
93,סתיו אוחיון,39,Female,בבלי,16858,Low
94,בועז חדד,44,Male,בבלי,16544,Moderate
95,בנימין שפירא,53,Male,בבלי,17245,Low
96,אופיר כהן,29,Female,בבלי,16576,Low
97,נעמה חדד,29,Female,בבלי,13155,Low
98,אבנר לוי,23,Male,שפירא,4236,Low
99,יהודה גולדברג,37,Male,בבלי,17471,Low
100,יששכר דוד,40,Male,בבלי,13313,Low
101,יעקב לוי,21,Male,שפירא,5830,High
102,הדס אברהם,30,Female,שפירא,4309,High
103,חגית כץ,44,Female,כרם התימנים,7545,Moderate
104,רפאל שפירא,20,Male,שפירא,5926,Low
105,זבולון בר,30,Male,בבלי,13361,Low
106,רם סגל,44,Male,שפירא,5845,High
107,אבישי דוד,30,Male,כרם התימנים,6339,Low
108,עדי גבאי,28,Male,כרם התימנים,6138,Moderate
109,יששכר סגל,39,Male,בבלי,15635,Moderate
110,עודד פרידמן,28,Male,כרם התימנים,6346,Moderate
111,חביבה דיין,30,Female,בבלי,14225,Low
112,שקד אברהם,30,Female,כרם התימנים,7415,Moderate
113,סתיו ביטון,22,Female,שפירא,5607,High
114,יעל סגל,29,Female,בבלי,16390,Moderate
115,אביגיל סגל,38,Female,בבלי,13400,Low
116,שלמה כהן,28,Male,שפירא,5954,Low
117,לי בר,51,Female,בבלי,14014,Low
118,חגי אוחיון,45,Male,שפירא,5855,Low
119,קרן דוד,49,Female,בבלי,15197,Moderate
120,רינת כהן,48,Female,שפירא,5819,High
121,אדווה דוד,38,Female,כרם התימנים,6171,Low
122,תמיר דיין,26,Male,כרם התימנים,7118,Moderate
123,יובל סגל,33,Male,בבלי,15734,Moderate
124,עדי רובין,21,Male,שפירא,4929,High
125,ירמיהו פרץ,24,Male,שפירא,5661,High
126,אלעד פרידמן,41,Male,בבלי,14470,Moderate
127,שמעון מזרחי,24,Male,שפירא,5139,High
128,יסמין רובין,32,Female,שפירא,4307,High
129,חן אזולאי,37,Female,בבלי,13671,Low
